"Series";"Time";"Value"
"tpsrv010.cern.ch";"2019-08-15T17:00:00+02:00";184272729.87777779
"tpsrv010.cern.ch";"2019-08-15T17:30:00+02:00";245771084.5111111
"tpsrv010.cern.ch";"2019-08-15T18:00:00+02:00";183720493.71
"tpsrv010.cern.ch";"2019-08-15T18:30:00+02:00";185707869.0811111
"tpsrv010.cern.ch";"2019-08-15T19:00:00+02:00";194366766.61333334
"tpsrv010.cern.ch";"2019-08-15T19:30:00+02:00";185788702.11222222
"tpsrv010.cern.ch";"2019-08-15T20:00:00+02:00";177057130.32333332
"tpsrv010.cern.ch";"2019-08-15T20:30:00+02:00";110073784.9711111
"tpsrv010.cern.ch";"2019-08-15T21:00:00+02:00";173330261.84444445
"tpsrv010.cern.ch";"2019-08-15T21:30:00+02:00";229408681.03111112
"tpsrv010.cern.ch";"2019-08-15T22:00:00+02:00";226353782.72
"tpsrv010.cern.ch";"2019-08-15T22:30:00+02:00";110408901.06333333
"tpsrv010.cern.ch";"2019-08-15T23:00:00+02:00";195864504.23
"tpsrv010.cern.ch";"2019-08-15T23:30:00+02:00";136813905.3122222
"tpsrv010.cern.ch";"2019-08-16T00:00:00+02:00";76201929.11222222
"tpsrv010.cern.ch";"2019-08-16T00:30:00+02:00";206057839.65111113
"tpsrv010.cern.ch";"2019-08-16T01:00:00+02:00";234290020.86444443
"tpsrv010.cern.ch";"2019-08-16T01:30:00+02:00";68280832.79666667
"tpsrv010.cern.ch";"2019-08-16T02:00:00+02:00";95083431.51
"tpsrv010.cern.ch";"2019-08-16T02:30:00+02:00";71684393.35222222
"tpsrv010.cern.ch";"2019-08-16T03:00:00+02:00";38809272.55111111
"tpsrv010.cern.ch";"2019-08-16T03:30:00+02:00";null
